Index,Balance,Price,Q,Name,UID,Bounty,Q_Max,Time
5,384.0,100.0,85,BOWENARROW(10% ALL),92908,10,3,2017-01-22 18:12:33.364000
8,6531.0,100.0,79,GORDOVIKING MTGO+50%,159046,50,43,2017-01-22 18:12:33.364000
13,32805.0,100.0,99,10% BONUS MTGO CARDS,32523,10,298,2017-01-22 18:12:33.364000
20,11989.0,100.0,99,TIX200PPEACH50%RHINO,150834,50,79,2017-01-22 18:12:33.364000
24,8357.0,100.0,20,DECIPIO - 15% BONUS,134314,15,72,2017-01-22 18:12:33.364000
29,8757.0,100.0,55,100% BNTY ON TIX,67951,100,43,2017-01-22 18:12:33.364000
34,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
35,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
36,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
37,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
43,17800.0,100.0,20,SONOFTHEKING(+20%),172891,20,148,2017-01-22 18:12:33.364000
44,11153.0,100.0,99,SENSEIRUSS +20%!,101511,20,92,2017-01-22 18:12:33.364000
48,18329.0,100.0,99,40% WANT !!!,129307,40,130,2017-01-22 18:12:33.364000
52,39605.0,100.0,99,MTGO 30% BONUS!!!,51970,30,304,2017-01-22 18:12:33.364000
56,7869.0,100.0,70,10% ALL MTGO,9591,10,71,2017-01-22 18:12:33.364000
59,12667.0,100.0,50,30% BOUNTY ALL!,118143,30,97,2017-01-22 18:12:33.364000
61,16985.0,100.0,99,+100% TIX +50% PAPER,5260,100,84,2017-01-22 18:12:33.364000
62,489.0,100.0,10,110% ON TIX,130631,110,2,2017-01-22 18:12:33.364000
65,157204.0,100.0,99,+30% MTGO/+20% PAPER,7323,30,1209,2017-01-22 18:12:33.364000
66,45048.0,100.0,1,WKDWRLOCK 30% BNTY,5620,30,346,2017-01-22 18:12:33.364000
69,8957.0,100.0,99,33% MTGO / 50% TIX,6063,50,59,2017-01-22 18:12:33.364000
71,18655.0,100.0,99,+20% EVENT TIX,114475,20,155,2017-01-22 18:12:33.364000
77,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
78,6582.0,100.0,81,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
79,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
80,6582.0,100.0,1,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
82,19406.0,100.0,10,"+10% STD/+20MOD,PATH",108529,10,176,2017-01-22 18:12:33.364000
86,15062.0,100.0,50,TIEGSTER180%BONUSTIX,84908,180,53,2017-01-22 18:12:33.364000
91,9853.0,100.0,99,20% BONUS TIX MTGO,27929,20,82,2017-01-22 18:12:33.364000
96,2019.0,100.0,15,+100% MTGO TICKETS,88878,100,10,2017-01-22 18:12:33.364000
97,45048.0,100.0,1,WKDWRLOCK 30% BNTY,5620,30,346,2017-01-22 18:12:33.364000
98,45048.0,100.0,1,WKDWRLOCK 30% BNTY,5620,30,346,2017-01-22 18:12:33.364000
102,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
103,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
104,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
107,42637.0,100.0,10,+20%ONALLWANTS!,164344,20,355,2017-01-22 18:12:33.364000
110,21547.0,100.0,99,+50% ON SAHEELI!,123699,50,143,2017-01-22 18:12:33.364000
112,10492.0,100.0,50,DANIEL MTGO BONUS50%,122840,50,69,2017-01-22 18:12:33.364000
115,20742.0,100.0,5,RADO 20% BONUS,58170,20,172,2017-01-22 18:12:33.364000
118,32805.0,100.0,99,10% BONUS MTGO CARDS,32523,10,298,2017-01-22 18:12:33.364000
119,9853.0,100.0,99,20% BONUS TIX MTGO,27929,20,82,2017-01-22 18:12:33.364000
